,UEI,Start Date,End Date,Duration(Days),Main Cause,Districts,State,Extent of damage ,Event Source
583,UEI-IMD-FL-1969-0009,22/10/1969 00:00,23/10/1969 00:00,2,torrential rain,"Chennai,Suburbans",Madras,"Affected air,train services,throwing the normal life of the city out of gar. Meenambakkam recieved 23 cms of rain on 22nd almost touching the 81 year old record of 23.4 cms on October 31, 1888. Tambaram,Sholavaram, two other suburbs of Madras, recorded 29 cms,48 cms of rain on that day",IMD
584,UEI-IMD-FL-1969-0010,15/10/1969 00:00,29/10/1969 00:00,15,heavy rains,Chennai,Tamil Nadu,"Causing Flooded rivers,breached tanks, destroying food crops, rendering thousands of persons homeless,disrupting rail,road traffic in the affected areas. Nearly 40,000 hectares of land with standing rice crop were reported to have benn under water in Thanjavur district the rice bowl of Tamil Nadu",IMD
585,UEI-IMD-FL-1970-0001,15/06/1970 00:00,22/06/1970 00:00,8,heavy rains,"Udalguri, Darrang, Sonitpur, Biswanath",Assam,"Caused floods in Brahmaputra,its tributaries,inundated vast areas of Jute crops,Paddy fields in the northern districts",IMD
586,UEI-IMD-FL-1970-0002,15/07/1970 00:00,29/07/1970 00:00,15,flood,Entire village,Uttarakhand,"Flooding of Alakanda river caused considerable loss of life among pilgrims. A number of bridges, houses,even an entire village in the Joshimath area were washed away",IMD
587,UEI-IMD-FL-1970-0004,22/08/1970 00:00,29/08/1970 00:00,8,floods,"Srikakulam, Vizianagaram, Visakhapatnam, Krishna, Guntur, East Godavari, Prakasam, Kurnool, Anantapur, Sri Potti Sriramulu Nell*, West Godavari, Y.S.R., Chittoor, Burhanpur, Morena, Bhind, Gwalior, Sheopur, Shivpuri, Tikamgarh, Neemuch, Rewa, Satna, Guna, Ashoknagar, Mandsaur, Singrauli, Sidhi, Sagar, Damoh, Shajapur, Vidisha, Rajgarh, Shahdol, Katni, Umaria, Ratlam, Bhopal, Ujjain, Raisen, Sehore, Jabalpur, Dewas, Anuppur, Jhabua, Dindori, Narsimhapur, Dhar, Indore, Mandla, Hoshangabad, Seoni, Alirajpur, Chhindwara, Harda, West Nimar, East Nimar, Balaghat, Barwani, Agar Malwa, Datia, Chhatarpur, Panna, Betul, Niwari","Andhra Pradesh, Madhya Pradesh",,IMD
588,UEI-IMD-FL-1970-0005,08/08/1970 00:00,14/08/1970 00:00,7,floods,,Odisha,,IMD
589,UEI-IMD-FL-1970-0006,01/09/1970 00:00,14/09/1970 00:00,14,torrential rain,,Gujarat,"Caused considerable damage to railway track,breaches that disrupted traffic over wide areas. The Narmada,Tapti were in spate resulting in loss of life estimated over a thousand,extensive damage to standing crop,property",IMD
590,UEI-IMD-FL-1970-0007,01/09/1970 00:00,14/09/1970 00:00,14,heavy rains,"Darjeeling, Jalpaiguri, Cooch Behar, Maldah, Uttar Dinajpur, Dakshin Dinajpur, Alipurduar,Kalimpong",West Bengal,"Rendering several thousands homeless. There was also considerable dmage to crops,houses in Gangetic West Bengal during this period",IMD
591,UEI-IMD-FL-1970-0008,27/09/1970 00:00,30/09/1970 00:00,4,floods,,Uttar Pradesh,"Crops,property damage have been estimated to run into several crores",IMD
592,UEI-IMD-FL-1970-0009,01/09/1970 00:00,10/09/1970 00:00,10,floods,Aurangabad,Maharastra,"Have rendered over 8,000 homeless. Damaged crops were estimated to be worth about 2 crores",IMD
593,UEI-IMD-FL-1970-0010,11/09/1970 00:00,20/09/1970 00:00,10,heavy rains,,Kerala,"Disrupted normal life, flooding low-lying areas,affecting communications",IMD
594,UEI-IMD-FL-1970-0011,22/09/1970 00:00,22/09/1970 00:00,1,torrential rain,,Telangana,"Stored grains worth lakhs of rupees were washe daway,it was reported that 40,000 people were rendered homeless",IMD
595,UEI-IMD-FL-1970-0012,21/11/1970 00:00,27/11/1970 00:00,7,"heavy rains,floods",Chennai,Tamil Nadu,,IMD
596,UEI-IMD-FL-1971-0001,21/02/1971 00:00,27/02/1971 00:00,7,heavy rains,,Jammu and Kashmir,"Causing disruption to traffic,communication",IMD
597,UEI-IMD-FL-1971-0002,08/05/1971 00:00,14/05/1971 00:00,7,heavy rains,Thrissur,Kerala,"Caused considerable damage to property like plantatin,coconut groves,disrupted traffic,communication",IMD
598,UEI-IMD-FL-1971-0003,01/06/1971 00:00,30/06/1971 00:00,30,heavy rains,"Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, Shrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagarnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur Nagar, Auraiya, Faizabad, Kanpur Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipur, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh, Tinsukia, Dhemaji, Dibrugarh, Lakhimpur, Sivasagar, Jorhat, Sonitpur, Golaghat, Udalguri, Chirang, Baksa, Nagaon, Kokrajhar, Darrang, Barpeta, Nalbari, Morigaon, Kamrup, Bongaigaon, Dhubri, Kamrup Metropolitanpolitan, Goalpara, Dima Hasao, Cachar, Karimganj, Hailakandi, Charaideo, Majuli, Biswanath, Hojai, South Salmara Mancachar, Karbi Anglong, West Karbi Anglong, Pashchim Champaran, Purba Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, South Twenty Four Pargan, Darjiling, Jalpaiguri, Dakshin Dinajpur, Maldahh, Murshidabad, Birbhum, Nadia, Purba Bardhaman, Puruliya, Bankura, North Twenty Four Pargan*","Uttar Pradesh , Assam , Bihar , West Bengal, Kerala","Caused loss of life,damage to crops worth crores of rupees,brekdown of normal traffic,communication. Due to change of course y some rivers (like the Kali river) thousands of people were rendered homeless",IMD
599,UEI-IMD-FL-1971-0004,23/06/1971 00:00,23/06/1971 00:00,1,heavy rains,,Maharastra,Rainfall recorded (43.4 cms),IMD
600,UEI-IMD-FL-1971-0005,01/07/1971 00:00,31/07/1971 00:00,31,floods,"Tinsukia, Dhemaji, Dibrugarh, Lakhimpur, Sivasagar, Jorhat, Sonitpur, Golaghat, Udalguri, Chirang, Baksa, Nagaon, Kokrajhar, Darrang, Barpeta, Nalbari, Morigaon, Kamrup, Bongaigaon, Dhubri, Kamrup Metropolitanpolitan, Goalpara, Dima Hasao, Cachar, Karimganj, Hailakandi, Charaideo, Majuli, Biswanath, Hojai, South Salmara Mancachar, Karbi Anglong, West Karbi Anglong, Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Baudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagapur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Debagarh, Sambalpur, South Twenty Four Pargan, Darjiling, Jalpaiguri, Dakshin Dinajpur, Maldahh, Murshidabad, Birbhum, Nadia, Purba Bardhaman, Puruliya, Bankura, North Twenty Four Pargan*","Assam, Odisha, West Bengal, Bihar","Loss of life was reported. Several villages were washed away rendering thousands people homeless. Crops,fertile land worth seeveral crores of rupees reportedly destroyed",IMD
601,UEI-IMD-FL-1971-0006,01/08/1971 00:00,14/08/1971 00:00,14,flooded,"Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, Shrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagarnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur Nagar, Auraiya, Faizabad, Kanpur Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipur, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh, Pashchim Champaran, Purba Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Tinsukia, Dhemaji, Dibrugarh, Lakhimpur, Sivasagar, Jorhat, Sonitpur, Golaghat, Udalguri, Chirang, Baksa, Nagaon, Kokrajhar, Darrang, Barpeta, Nalbari, Morigaon, Kamrup, Bongaigaon, Dhubri, Kamrup Metropolitanpolitan, Goalpara, Dima Hasao, Cachar, Karimganj, Hailakandi, Charaideo, Majuli, Biswanath, Hojai, South Salmara Mancachar, Karbi Anglong, West Karbi Anglong","Uttar Pradesh, Bihar,  Assam","Caused further havoc with damage to life,property",IMD
602,UEI-IMD-FL-1971-0007,01/08/1971 00:00,14/08/1971 00:00,14,moderate floods,"Burhanpur, Morena, Bhind, Gwalior, Sheopur, Shivpuri, Tikamgarh, Neemuch, Rewa, Satna, Guna, Ashoknagar, Mandsaur, Singrauli, Sidhi, Sagar, Damoh, Shajapur, Vidisha, Rajgarh, Shahdol, Katni, Umaria, Ratlam, Bhopal, Ujjain, Raisen, Sehore, Jabalpur, Dewas, Anuppur, Jhabua, Dindori, Narsimhapur, Dhar, Indore, Mandla, Hoshangabad, Seoni, Alirajpur, Chhindwara, Harda, West Nimar, East Nimar, Balaghat, Barwani, Agar Malwa, Datia, Chhatarpur, Panna, Betul, Niwari, Gurdaspur, Hoshiarpur, Amritsar, Jalandhar, Tarn Taran, Rupnagar, Shahid Bhagat Singh Nagar, Fazilka, Moga, Ludhiana, Sahibzada Ajit Singh Nag**, Faridkot, Fatehgarh Sahib, Sri Muktsar Sahib, Sangrur, Barnala, Bathinda, Patiala, Mansa, Firozpur, Pathankot, Kapurthala, Jhajjar, Gurugram, Faridabad, Mahendragarh, Rewari, Nuh, Palwal, Charki Dadri, Yamunanagar, Kurukshetra, Kaithal, Sirsa, Karnal, Jind, Fatehabad, Hisar, Panipat, Sonipat, Bhiwani, Rohtak, Panchkula, Ambala, South Twenty Four Pargan, Darjiling, Jalpaiguri, Dakshin Dinajpur, Maldahh, Murshidabad, Birbhum, Nadia, Purba Bardhaman, Puruliya, Bankura, North Twenty Four Pargan*","Madhya Pradesh, Punjab, Haryana, West Bengal",States affected,IMD
603,UEI-IMD-FL-1971-0008,15/08/1971 00:00,28/08/1971 00:00,14,floods,"Pashchim Champaran, Purba Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, Shrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagarnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur Nagar, Auraiya, Faizabad, Kanpur Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipur, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh, South Twenty Four Pargan, Darjiling, Jalpaiguri, Dakshin Dinajpur, Maldahh, Murshidabad, Birbhum, Nadia, Purba Bardhaman, Puruliya, Bankura, North Twenty Four Pargan*","Bihar, Uttar pradesh, West Bengal, Himachal Pradesh","Caused loss of life, property,crops",IMD
604,UEI-IMD-FL-1971-0009,22/08/1971 00:00,31/08/1971 00:00,10,floods,,Parts of Maharastra,Moderately affected,IMD
